Id,plot_Id,crop_Id,D05_times,D_curr_crop,D_repeat_times_count
201,1,1,1,other,1
201,2,1,1,maize,1
201,2,2,1,sorghum,1
201,2,3,1,sesame,1
202,1,1,1,maize,1
202,1,2,1,sorghum,1
202,2,1,1,rice,1
203,1,1,1,rice,1
203,2,1,1,maize,1
203,2,2,1,sorghum,1
204,1,1,1,maize,1
204,2,1,1,rice,1
205,1,1,1,maize,1
205,2,1,1,sorghum,1
205,3,1,1,sweetpotato,1
205,4,1,1,rice,1
206,1,1,1,maize,1
206,1,2,1,sorghum,1
206,2,1,1,rice,1
207,1,1,1,maize,1
207,2,1,1,rice,1
208,1,1,1,maize,1
208,1,2,1,sorghum,1
209,1,1,1,rice,1
209,2,1,1,maize,1
210,1,1,1,maize,1
210,1,2,1,sorghum,1
210,2,1,1,tomatoes,1
211,1,1,1,maize,1
211,2,1,1,rice,1
212,1,1,1,maize,1
212,2,1,1,sorghum,1
212,3,1,1,other,1
213,1,1,1,rice,1
213,2,1,1,maize,1
214,1,1,1,maize,1
214,1,2,1,sorghum,1
214,2,1,1,rice,1
215,1,1,1,sesame,1
215,2,1,1,maize,1
216,1,1,1,maize,1
216,1,2,1,sorghum,1
216,2,1,1,rice,1
217,1,1,1,sorghum,1
217,2,1,1,maize,1
218,1,1,1,maize,1
218,2,1,1,rice,1
219,1,1,1,maize,1
219,1,2,1,sesame,1
219,2,1,1,rice,1
220,1,1,1,maize,1
220,1,2,1,sorghum,1
220,2,1,1,rice,1
221,1,1,1,maize,1
221,2,1,1,rice,1
222,1,1,1,other,1
222,2,1,1,maize,1
222,2,2,1,sorghum,1
222,3,1,1,rice,1
223,1,1,1,maize,1
223,2,1,1,maize,1
223,2,2,1,sorghum,1
224,1,1,1,maize,1
224,2,1,1,maize,1
224,3,1,1,other,1
225,1,1,1,maize,1
225,2,1,1,sorghum,1
226,1,1,1,sorghum,1
226,2,1,1,maize,1
227,1,1,1,maize,1
227,1,2,1,sorghum,1
227,2,1,1,rice,1
228,1,1,1,maize,1
228,1,2,1,sorghum,1
228,1,3,1,tomatoes,1
228,1,4,1,sesame,1
228,2,1,1,rice,1
229,1,1,1,maize,1
229,2,1,1,rice,1
230,1,1,1,maize,1
230,1,2,1,sorghum,1
230,2,1,1,tomatoes,1
231,1,1,1,maize,1
231,2,1,1,sorghum,1
231,3,1,1,millet,1
231,4,1,1,tomatoes,1
232,1,1,1,tomatoes,1
232,2,1,1,vegetable,1
232,3,1,1,maize,1
233,1,1,1,maize,1
233,2,1,1,sorghum,1
233,3,1,1,sesame,1
234,1,1,1,maize,1
234,2,1,1,sorghum,1
234,3,1,1,sesame,1
234,4,1,1,rice,1
235,1,1,1,maize,1
235,2,1,1,sorghum,1
236,1,1,1,maize,1
236,2,1,1,other,1
237,1,1,1,maize,1
237,1,2,1,sorghum,1
237,1,3,1,sesame,1
238,1,1,1,sorghum,1
238,2,1,1,maize,1
238,3,1,1,rice,1
239,1,1,1,maize,1
239,1,2,1,sorghum,1
239,1,3,1,rice,1
240,1,1,1,maize,1
240,2,1,1,sorghum,1
240,3,1,1,rice,1
240,4,1,1,other,1
241,1,1,1,maize,1
241,2,1,1,rice,1
241,3,1,1,sweetpotato,1
242,1,1,1,maize,1
242,2,1,1,sorghum,1
242,3,1,1,rice,1
243,1,1,1,maize,1
243,2,1,1,sorghum,1
243,3,1,1,maize,1
243,3,2,1,rice,1
244,1,1,1,maize,1
244,1,2,1,rice,1
244,2,1,1,cassava,1
245,1,1,1,maize,1
245,2,1,1,rice,1
246,1,1,1,maize,1
246,2,1,1,rice,1
247,1,1,1,maize,1
247,2,1,1,maize,1
247,2,2,1,sorghum,1
247,3,1,1,rice,1
248,1,1,1,maize,1
248,2,1,1,maize,1
248,3,1,1,rice,1
249,1,1,1,rice,1
249,2,1,1,maize,1
250,1,1,1,rice,1
250,2,1,1,rice,1
250,3,1,1,maize,1
251,1,1,1,rice,1
252,1,1,1,maize,1
252,1,2,1,beans,1
252,1,3,1,sorghum,1
252,2,1,1,rice,1
253,1,1,1,maize,1
253,2,1,1,rice,1
253,3,1,1,rice,1
254,1,1,1,maize,1
254,1,2,1,,1
254,2,1,1,rice,1
255,1,1,1,millet,1
255,2,1,1,sorghum,1
255,3,1,1,maize,1
255,3,2,1,tomatoes,1
256,1,1,1,maize,1
256,1,2,1,sorghum,1
256,2,1,1,vegetable,1
257,1,1,1,maize,1
257,1,2,1,sorghum,1
257,2,1,1,rice,1
258,1,1,1,millet,1
258,2,1,1,sorghum,1
258,3,1,1,rice,1
259,1,1,1,maize,1
259,1,2,1,sorghum,1
259,2,1,1,tomatoes,1
260,1,1,1,maize,1
260,2,1,1,sorghum,1
260,3,1,1,rice,1
261,1,1,1,maize,1
261,1,2,1,sorghum,1
262,1,1,1,maize,1
262,1,2,1,vegetable,1
262,1,3,1,sesame,1
263,1,1,1,maize,1
263,1,2,1,sorghum,1
263,2,1,1,rice,1
263,3,1,1,rice,1
263,4,1,1,rice,1
264,1,1,1,maize,1
264,2,1,1,rice,1
265,1,1,1,maize,1
265,2,1,1,rice,1
266,1,1,1,rice,1
266,2,1,1,maize,1
267,1,1,1,rice,1
267,2,1,1,maize,1
268,1,1,1,maize,1
268,1,2,1,rice,1
269,1,1,1,maize,1
269,2,1,1,rice,1
269,3,1,1,sweetpotato,1
270,1,1,1,maize,1
270,2,1,1,rice,1
271,1,1,1,rice,1
271,2,1,1,maize,1
272,1,1,1,maize,1
272,2,1,1,rice,1
272,3,1,1,vegetable,1
273,1,1,1,sorghum,1
273,2,1,1,maize,1
273,3,1,1,rice,1
274,1,1,1,rice,1
274,2,1,1,maize,1
275,1,1,1,maize,1
275,2,1,1,rice,1
276,1,1,1,rice,1
277,1,1,1,rice,1
277,2,1,1,sweetpotato,1
278,1,1,1,maize,1
278,2,1,1,rice,1
279,1,1,1,maize,1
279,2,1,1,rice,1
279,3,1,1,tomatoes,1
280,1,1,1,rice,1
281,1,1,1,maize,1
281,2,1,1,rice,1
282,1,1,1,maize,1
282,1,2,1,sorghum,1
282,2,1,1,sesame,1
282,3,1,1,rice,1
283,1,1,1,rice,1
283,2,1,1,maize,1
283,3,1,1,sesame,1
283,4,1,1,pigeonpeas,1
284,1,1,1,tomatoes,1
284,1,2,1,onion,1
284,1,3,1,rice,1
284,1,4,1,green_pepper,1
285,1,1,1,maize,1
285,1,2,1,sorghum,1
285,2,1,1,rice,1
286,1,1,1,maize,1
286,2,1,1,rice,1
287,1,1,1,rice,1
287,2,1,1,maize,1
288,1,1,1,maize,1
288,2,1,1,sesame,1
288,3,1,1,rice,1
288,4,1,1,tomatoes,1
289,1,1,1,maize,1
289,2,1,1,rice,1
